Symbol,Price,Type,Quantity
MSFT,314.09,BID,21
MSFT,314.11,ASK,63
MSFT,314.02,BID,14
MSFT,314.02,ASK,98
MSFT,313.99,BID,54
MSFT,313.87,ASK,60
MSFT,313.85,BID,45
MSFT,313.88,ASK,65
MSFT,313.84,BID,71
MSFT,313.86,ASK,7
MSFT,313.74,BID,53
MSFT,313.67,ASK,71
MSFT,313.38,BID,66
MSFT,313.51,ASK,42
MSFT,313.37,BID,7
MSFT,313.39,ASK,41
MSFT,313.36,BID,13
MSFT,312.86,ASK,41
MSFT,312.83,BID,63
MSFT,312.33,ASK,45
MSFT,312.31,BID,91
MSFT,312.14,ASK,16
MSFT,312.12,BID,10
MSFT,311.77,ASK,17
MSFT,311.76,BID,22
MSFT,311.22,ASK,9
MSFT,311.2,BID,26
MSFT,311.02,ASK,62
MSFT,310.83,BID,73
MSFT,310.76,ASK,50
MSFT,310.75,BID,54
MSFT,310.76,ASK,57
MSFT,310.75,BID,33
MSFT,310.93,ASK,82
MSFT,310.73,BID,76
MSFT,310.67,ASK,62
MSFT,310.62,BID,84
MSFT,310.08,ASK,34
MSFT,310.03,BID,91
MSFT,310.19,ASK,45
MSFT,310.02,BID,100
MSFT,310.19,ASK,90
MSFT,310.02,BID,74
MSFT,309.87,ASK,46
MSFT,309.68,BID,14
MSFT,309.52,ASK,90
MSFT,309.48,BID,18
MSFT,309.43,ASK,87
MSFT,309.42,BID,37
MSFT,309.21,ASK,72
MSFT,309.14,BID,27
MSFT,309.02,ASK,72
MSFT,309.0,BID,26
MSFT,308.8,ASK,8
MSFT,308.74,BID,64
MSFT,308.66,ASK,98
MSFT,308.63,BID,86
MSFT,308.29,ASK,15
MSFT,308.26,BID,62
MSFT,308.31,ASK,17
MSFT,308.26,BID,39
MSFT,308.29,ASK,72
MSFT,308.11,BID,30
MSFT,308.11,ASK,101
MSFT,308.08,BID,78
MSFT,307.54,ASK,82
MSFT,307.49,BID,86
MSFT,307.33,ASK,30
MSFT,307.32,BID,14
MSFT,307.25,ASK,21
MSFT,307.24,BID,21
MSFT,306.95,ASK,3
MSFT,306.94,BID,3
MSFT,305.95,ASK,65
MSFT,305.79,BID,63
MSFT,305.54,ASK,57
MSFT,305.52,BID,50
MSFT,305.57,ASK,71
MSFT,305.5,BID,48
MSFT,305.45,ASK,18
MSFT,305.41,BID,96
MSFT,305.28,ASK,81
MSFT,305.25,BID,23
MSFT,304.88,ASK,64
MSFT,304.83,BID,28
MSFT,304.86,ASK,73
MSFT,304.8,BID,75
MSFT,304.73,ASK,19
MSFT,304.68,BID,19
MSFT,304.65,ASK,12
MSFT,304.58,BID,74
MSFT,304.55,ASK,48
MSFT,304.53,BID,19
MSFT,304.42,ASK,17
MSFT,304.39,BID,10
MSFT,304.27,ASK,26
MSFT,304.26,BID,90
MSFT,304.21,ASK,20
MSFT,304.17,BID,87
MSFT,304.17,ASK,96
MSFT,304.1,BID,31
MSFT,304.11,ASK,36
MSFT,304.08,BID,52
MSFT,303.69,ASK,4
MSFT,303.68,BID,6
MSFT,303.56,ASK,31
