Type,Symbol,Price,Quantity
BID,AAPL,15301,20
ASK,AAPL,1530,19
BID,AAPL,15298,65
ASK,AAPL,15298,7
BID,AAPL,1529,23
ASK,AAPL,1529,53
BID,AAPL,15272,76
ASK,AAPL,15271,4
BID,AAPL,15255,57
ASK,AAPL,15255,28
BID,AAPL,15254,99
ASK,AAPL,15255,22
BID,AAPL,15253,2
ASK,AAPL,15255,97
BID,AAPL,15252,75
ASK,AAPL,15251,71
BID,AAPL,15243,18
ASK,AAPL,15254,43
BID,AAPL,1524,45
ASK,AAPL,15239,9
BID,AAPL,15238,64
ASK,AAPL,15236,45
BID,AAPL,15214,8
ASK,AAPL,15215,80
BID,AAPL,15198,43
ASK,AAPL,15196,62
BID,AAPL,15187,64
ASK,AAPL,15186,37
BID,AAPL,15176,49
ASK,AAPL,15176,79
BID,AAPL,15171,94
ASK,AAPL,15169,25
BID,AAPL,15157,3
ASK,AAPL,15162,7
BID,AAPL,15157,42
ASK,AAPL,15156,88
BID,AAPL,15149,84
ASK,AAPL,15149,83
BID,AAPL,15132,83
ASK,AAPL,15138,82
BID,AAPL,15128,21
ASK,AAPL,15128,40
BID,AAPL,1512,15
ASK,AAPL,15123,4
BID,AAPL,15116,45
ASK,AAPL,15113,41
BID,AAPL,15112,73
ASK,AAPL,15114,5
BID,AAPL,15111,5
ASK,AAPL,15114,91
BID,AAPL,15111,27
ASK,AAPL,15111,16
BID,AAPL,15103,32
ASK,AAPL,15102,46
BID,AAPL,1510,29
ASK,AAPL,1510,64
BID,AAPL,15099,38
ASK,AAPL,15098,64
BID,AAPL,15097,16
ASK,AAPL,15097,31
BID,AAPL,15096,53
ASK,AAPL,15093,74
BID,AAPL,15089,47
ASK,AAPL,15088,78
BID,AAPL,15085,27
ASK,AAPL,15086,41
BID,AAPL,15075,96
ASK,AAPL,15081,29
BID,AAPL,15075,62
ASK,AAPL,15077,35
BID,AAPL,15065,85
ASK,AAPL,15064,52
BID,AAPL,15062,16
ASK,AAPL,15057,6
BID,AAPL,15055,71
ASK,AAPL,15056,5
BID,AAPL,15054,93
ASK,AAPL,15053,54
BID,AAPL,15046,92
ASK,AAPL,15045,69
BID,AAPL,15045,101
ASK,AAPL,15046,90
BID,AAPL,15045,92
ASK,AAPL,15045,33
BID,AAPL,15023,100
ASK,AAPL,15026,39
BID,AAPL,15022,77
ASK,AAPL,15025,100
BID,AAPL,15015,20
ASK,AAPL,15025,80
BID,AAPL,15013,26
ASK,AAPL,15007,6
BID,AAPL,15003,56
ASK,AAPL,15004,72
BID,AAPL,15002,69
ASK,AAPL,1500,73
BID,AAPL,14998,22
ASK,AAPL,1500,67
BID,AAPL,1498,72
ASK,AAPL,1498,77
BID,AAPL,14979,28
ASK,AAPL,1498,50
BID,AAPL,14971,61
ASK,AAPL,14971,62
BID,AAPL,14967,91
ASK,AAPL,14965,23
BID,AAPL,14964,67
ASK,AAPL,14965,34
BID,AAPL,14964,53
ASK,AAPL,1497,54
BID,AAPL,14963,85
ASK,AAPL,14963,42
BID,AAPL,14961,64
ASK,AAPL,14962,46
BID,AAPL,14959,5
ASK,AAPL,14957,90
BID,AAPL,14956,87
ASK,AAPL,14952,74
BID,AAPL,1495,53
ASK,AAPL,14946,6
BID,AAPL,14942,1
ASK,AAPL,14942,60
BID,AAPL,14937,80
ASK,AAPL,14935,97
BID,AAPL,14928,69
ASK,AAPL,14929,65
BID,AAPL,14926,86
ASK,AAPL,14926,80
BID,AAPL,14924,68
ASK,AAPL,14922,45
BID,AAPL,1491,31
ASK,AAPL,1491,2
BID,AAPL,14909,28
ASK,AAPL,1491,55
BID,AAPL,14901,5
ASK,AAPL,14903,23
BID,AAPL,1490,62
ASK,AAPL,1490,9
BID,AAPL,14898,53
ASK,AAPL,14897,80
BID,AAPL,14894,18
ASK,AAPL,14894,80
BID,AAPL,1489,31
ASK,AAPL,14889,36
BID,AAPL,14886,43
ASK,AAPL,14886,59
BID,AAPL,14885,22
ASK,AAPL,14886,5
BID,AAPL,14879,58
ASK,AAPL,14879,12
BID,AAPL,14878,6
ASK,AAPL,14879,14
BID,AAPL,14877,77
ASK,AAPL,14884,47
BID,AAPL,14872,58
ASK,AAPL,14871,25
BID,AAPL,1487,57
ASK,AAPL,14869,102
BID,AAPL,14868,37
ASK,AAPL,14868,65
BID,AAPL,14866,6
ASK,AAPL,14865,23
BID,AAPL,1486,84
ASK,AAPL,1486,80
BID,AAPL,14857,100
ASK,AAPL,14857,23
BID,AAPL,1485,79
ASK,AAPL,14851,2
BID,AAPL,14848,88
ASK,AAPL,14848,16
BID,AAPL,14847,42
ASK,AAPL,14848,50
BID,AAPL,14847,55
ASK,AAPL,14848,3
BID,AAPL,1484,77
ASK,AAPL,14837,79
BID,AAPL,14837,42
ASK,AAPL,1484,61
BID,AAPL,14835,24
ASK,AAPL,14835,60
BID,AAPL,14819,56
ASK,AAPL,14819,51
BID,AAPL,14814,29
ASK,AAPL,14819,68
BID,AAPL,14814,3
ASK,AAPL,14817,22
BID,AAPL,14802,17
ASK,AAPL,14803,27
BID,AAPL,1480,15
ASK,AAPL,14801,5
BID,AAPL,1480,74
ASK,AAPL,14803,20
BID,AAPL,1480,44
ASK,AAPL,14793,9
BID,AAPL,14791,72
ASK,AAPL,14792,57
BID,AAPL,14788,3
ASK,AAPL,14788,39
BID,AAPL,14781,85
ASK,AAPL,14781,78
BID,AAPL,14757,80
ASK,AAPL,14756,28
BID,AAPL,14739,57
ASK,AAPL,1474,73
BID,AAPL,14735,94
ASK,AAPL,14736,3
BID,AAPL,1473,3
