Type,Symbol,Price,Quantity
BID,BSX,4392,61
ASK,BSX,4393,30
BID,BSX,4391,96
ASK,BSX,4391,66
BID,BSX,439,29
ASK,BSX,4391,3
BID,BSX,439,95
ASK,BSX,4391,77
BID,BSX,439,71
ASK,BSX,439,10
BID,BSX,4387,51
ASK,BSX,4389,23
BID,BSX,4384,35
ASK,BSX,4385,63
BID,BSX,4382,56
ASK,BSX,4385,50
BID,BSX,4381,6
ASK,BSX,4382,27
BID,BSX,4381,100
ASK,BSX,4381,35
BID,BSX,438,32
ASK,BSX,4382,36
BID,BSX,4378,101
ASK,BSX,4379,12
BID,BSX,4377,74
ASK,BSX,4376,74
BID,BSX,4375,17
ASK,BSX,4376,82
BID,BSX,4374,16
ASK,BSX,4375,31
BID,BSX,4374,94
ASK,BSX,4375,20
BID,BSX,4374,80
ASK,BSX,4374,14
BID,BSX,4373,41
ASK,BSX,4373,20
BID,BSX,4372,95
ASK,BSX,4373,77
BID,BSX,4372,86
ASK,BSX,4373,30
BID,BSX,437,79
ASK,BSX,4369,97
BID,BSX,4366,60
ASK,BSX,4365,72
BID,BSX,4364,9
ASK,BSX,4364,33
BID,BSX,4363,21
ASK,BSX,4363,90
BID,BSX,4362,26
ASK,BSX,4363,84
BID,BSX,4362,59
ASK,BSX,4362,19
BID,BSX,4361,48
ASK,BSX,4365,32
BID,BSX,4361,18
ASK,BSX,4361,81
BID,BSX,436,88
ASK,BSX,436,100
BID,BSX,4359,46
ASK,BSX,4359,28
BID,BSX,4358,65
ASK,BSX,4359,68
BID,BSX,4358,10
ASK,BSX,4358,97
BID,BSX,4357,58
ASK,BSX,4358,3
BID,BSX,4352,43
ASK,BSX,4357,101
BID,BSX,4351,18
ASK,BSX,435,69
BID,BSX,4349,101
ASK,BSX,435,76
BID,BSX,4348,47
ASK,BSX,4349,91
BID,BSX,4348,76
ASK,BSX,4347,42
BID,BSX,4346,72
ASK,BSX,4346,48
BID,BSX,4345,61
ASK,BSX,4344,99
BID,BSX,4343,102
ASK,BSX,4341,98
BID,BSX,434,15
ASK,BSX,4341,53
BID,BSX,434,36
ASK,BSX,434,43
BID,BSX,4338,54
ASK,BSX,4339,54
BID,BSX,4337,2
ASK,BSX,4337,57
BID,BSX,4336,96
ASK,BSX,4336,11
BID,BSX,4335,76
ASK,BSX,4336,81
BID,BSX,4335,14
ASK,BSX,4336,58
BID,BSX,4335,77
ASK,BSX,4336,65
BID,BSX,4333,88
ASK,BSX,4334,33
BID,BSX,4333,29
ASK,BSX,4339,61
BID,BSX,4333,5
ASK,BSX,4333,52
BID,BSX,4326,31
ASK,BSX,4326,91
BID,BSX,4325,29
ASK,BSX,4326,30
BID,BSX,4325,26
ASK,BSX,4326,70
BID,BSX,4324,32
ASK,BSX,4324,51
BID,BSX,4323,46
ASK,BSX,4323,2
BID,BSX,4322,61
ASK,BSX,4325,89
BID,BSX,4321,61
ASK,BSX,4322,70
BID,BSX,4321,93
ASK,BSX,432,25
BID,BSX,4319,85
ASK,BSX,4321,41
BID,BSX,4318,39
ASK,BSX,4318,11
BID,BSX,4317,32
ASK,BSX,4317,23
BID,BSX,4316,77
ASK,BSX,4317,86
BID,BSX,4316,21
ASK,BSX,4316,19
BID,BSX,4314,102
ASK,BSX,4315,100
BID,BSX,4312,41
ASK,BSX,4313,2
BID,BSX,4312,84
ASK,BSX,4313,90
BID,BSX,4312,13
ASK,BSX,4313,15
BID,BSX,4311,27
ASK,BSX,4312,20
BID,BSX,4311,6
ASK,BSX,4311,15
BID,BSX,4309,16
ASK,BSX,431,16
BID,BSX,4309,96
ASK,BSX,4309,28
BID,BSX,4306,30
ASK,BSX,4307,63
BID,BSX,4306,68
ASK,BSX,4307,1
BID,BSX,4304,55
ASK,BSX,4304,65
BID,BSX,4303,9
ASK,BSX,4304,31
BID,BSX,4303,27
ASK,BSX,4304,89
BID,BSX,4302,72
ASK,BSX,4306,47
BID,BSX,4301,55
ASK,BSX,4303,14
BID,BSX,4301,74
ASK,BSX,4302,62
BID,BSX,4301,81
ASK,BSX,4301,33
BID,BSX,430,16
ASK,BSX,4301,27
BID,BSX,4299,7
ASK,BSX,430,55
BID,BSX,4299,48
ASK,BSX,4299,56
BID,BSX,4297,62
ASK,BSX,4296,89
BID,BSX,4294,63
ASK,BSX,4296,77
BID,BSX,4294,24
ASK,BSX,4295,23
BID,BSX,4292,95
ASK,BSX,4298,90
BID,BSX,4291,77
ASK,BSX,4292,22
BID,BSX,429,44
ASK,BSX,4291,71
BID,BSX,429,39
ASK,BSX,4291,42
BID,BSX,429,98
ASK,BSX,4291,60
BID,BSX,4287,44
ASK,BSX,4287,32
BID,BSX,4286,78
ASK,BSX,4287,100
BID,BSX,4285,10
ASK,BSX,4286,48
BID,BSX,4282,23
ASK,BSX,4285,59
BID,BSX,4282,77
ASK,BSX,4283,12
BID,BSX,4282,18
ASK,BSX,4281,58
BID,BSX,428,49
ASK,BSX,428,2
BID,BSX,4279,70
ASK,BSX,428,2
BID,BSX,4279,78
ASK,BSX,428,75
BID,BSX,4279,6
ASK,BSX,4278,52
BID,BSX,4277,14
ASK,BSX,4281,15
BID,BSX,4277,53
ASK,BSX,4277,19
BID,BSX,4276,64
ASK,BSX,4276,1
BID,BSX,4275,3
ASK,BSX,4276,97
BID,BSX,4275,28
ASK,BSX,4277,17
BID,BSX,4274,1
ASK,BSX,4275,21
BID,BSX,4274,47
ASK,BSX,4275,88
BID,BSX,4274,5
ASK,BSX,4275,61
BID,BSX,4274,28
ASK,BSX,4275,50
BID,BSX,4274,34
ASK,BSX,4274,41
BID,BSX,4273,78
ASK,BSX,4273,80
BID,BSX,4272,86
ASK,BSX,4273,75
BID,BSX,4272,43
ASK,BSX,4273,64
BID,BSX,4272,36
ASK,BSX,4272,52
BID,BSX,4267,59
ASK,BSX,4268,82
BID,BSX,4267,34
ASK,BSX,4267,53
BID,BSX,4266,32
ASK,BSX,4267,78
BID,BSX,4266,92
ASK,BSX,4266,12
BID,BSX,4265,4
ASK,BSX,4264,10
BID,BSX,4263,27
ASK,BSX,4268,33
BID,BSX,4262,12
ASK,BSX,4264,15
BID,BSX,4261,67
ASK,BSX,4262,15
BID,BSX,4258,63
ASK,BSX,4259,76
BID,BSX,4258,31
ASK,BSX,4259,28
BID,BSX,4258,102
ASK,BSX,4258,42
BID,BSX,4257,57
ASK,BSX,4258,43
BID,BSX,4257,83
ASK,BSX,4261,12
BID,BSX,4257,60
ASK,BSX,4257,62
BID,BSX,4256,40
ASK,BSX,4257,41
BID,BSX,4256,2
ASK,BSX,4257,41
BID,BSX,4255,89
ASK,BSX,4256,81
BID,BSX,4255,92
ASK,BSX,4256,58
BID,BSX,4255,28
ASK,BSX,4256,13
BID,BSX,4254,71
ASK,BSX,4254,90
BID,BSX,4253,48
ASK,BSX,4254,50
BID,BSX,4252,83
ASK,BSX,4253,63
BID,BSX,4252,60
ASK,BSX,4252,72
BID,BSX,425,63
ASK,BSX,4251,1
BID,BSX,425,82
ASK,BSX,425,24
BID,BSX,4249,96
ASK,BSX,4248,35
BID,BSX,4247,45
ASK,BSX,4246,60
BID,BSX,4245,91
ASK,BSX,4245,21
BID,BSX,4244,78
ASK,BSX,4243,1
BID,BSX,4242,7
ASK,BSX,4243,25
BID,BSX,4242,3
ASK,BSX,4242,72
BID,BSX,4241,56
ASK,BSX,4242,51
BID,BSX,4241,50
ASK,BSX,4238,83
BID,BSX,4237,57
ASK,BSX,4236,92
BID,BSX,4232,19
ASK,BSX,4233,45
BID,BSX,4232,16
ASK,BSX,4236,34
BID,BSX,4232,28
ASK,BSX,4233,67
BID,BSX,4232,16
ASK,BSX,4231,64
BID,BSX,423,11
ASK,BSX,423,99
BID,BSX,4229,18
ASK,BSX,423,25
BID,BSX,4229,50
ASK,BSX,4228,81
BID,BSX,4227,93
ASK,BSX,4227,30
BID,BSX,4226,39
ASK,BSX,4224,1
BID,BSX,4223,51
ASK,BSX,4223,23
BID,BSX,4222,18
ASK,BSX,4223,14
BID,BSX,4222,52
ASK,BSX,4222,16
BID,BSX,4221,62
ASK,BSX,4221,69
BID,BSX,422,18
ASK,BSX,4221,63
BID,BSX,4219,23
ASK,BSX,422,46
BID,BSX,4219,68
ASK,BSX,422,72
BID,BSX,4219,40
ASK,BSX,4219,59
BID,BSX,4218,31
ASK,BSX,4218,80
BID,BSX,4217,2
ASK,BSX,4217,34
BID,BSX,4216,18
ASK,BSX,4215,97
BID,BSX,4214,86
ASK,BSX,4215,42
BID,BSX,4214,97
ASK,BSX,4214,86
BID,BSX,4213,13
ASK,BSX,4219,50
BID,BSX,4213,71
ASK,BSX,4213,39
BID,BSX,4212,93
ASK,BSX,4212,66
BID,BSX,4211,89
ASK,BSX,4214,5
BID,BSX,4209,81
ASK,BSX,421,42
BID,BSX,4209,41
ASK,BSX,4209,8
BID,BSX,4208,7
ASK,BSX,4209,29
BID,BSX,4208,43
ASK,BSX,4207,22
BID,BSX,4206,55
ASK,BSX,4207,6
BID,BSX,4206,7
ASK,BSX,4206,4
BID,BSX,4204,38
ASK,BSX,4204,44
BID,BSX,4203,60
ASK,BSX,4204,32
BID,BSX,4203,101
ASK,BSX,4203,71
BID,BSX,4202,59
ASK,BSX,4203,91
BID,BSX,420,3
ASK,BSX,4199,78
BID,BSX,4198,30
ASK,BSX,4198,101
BID,BSX,4197,56
ASK,BSX,4197,98
BID,BSX,4195,96
ASK,BSX,4195,42
BID,BSX,4194,74
ASK,BSX,4194,49
BID,BSX,4193,56
ASK,BSX,4193,57
BID,BSX,4192,80
ASK,BSX,4197,5
BID,BSX,4191,75
ASK,BSX,4191,33
BID,BSX,4189,39
ASK,BSX,4185,53
BID,BSX,4184,98
ASK,BSX,4185,25
BID,BSX,4184,8
ASK,BSX,4185,30
BID,BSX,4179,82
ASK,BSX,418,30
BID,BSX,4179,97
ASK,BSX,4179,23
BID,BSX,4178,49
ASK,BSX,4178,13
BID,BSX,4177,23
ASK,BSX,4177,23
BID,BSX,4176,8
ASK,BSX,4177,52
BID,BSX,4176,17
ASK,BSX,4177,63
BID,BSX,4176,8
ASK,BSX,4174,83
BID,BSX,4172,29
ASK,BSX,4172,38
BID,BSX,417,19
ASK,BSX,4171,84
BID,BSX,417,89
ASK,BSX,4168,54
BID,BSX,4167,62
ASK,BSX,4167,35
BID,BSX,4163,94
ASK,BSX,4163,77
BID,BSX,4162,35
ASK,BSX,4163,47
BID,BSX,4162,50
ASK,BSX,4162,92
BID,BSX,4161,53
ASK,BSX,4162,88
BID,BSX,4161,64
ASK,BSX,4161,85
BID,BSX,416,84
ASK,BSX,4164,50
BID,BSX,416,56
ASK,BSX,416,24
BID,BSX,4158,76
ASK,BSX,4155,65
BID,BSX,4154,31
ASK,BSX,4154,77
BID,BSX,4153,61
ASK,BSX,4153,46
BID,BSX,4152,58
ASK,BSX,415,7
BID,BSX,4149,69
ASK,BSX,4152,47
BID,BSX,4148,62
ASK,BSX,4152,39
BID,BSX,4148,37
ASK,BSX,4148,88
BID,BSX,4147,2
ASK,BSX,4148,67
BID,BSX,4147,64
ASK,BSX,4147,31
BID,BSX,4146,47
ASK,BSX,4146,7
BID,BSX,4143,72
ASK,BSX,4144,27
BID,BSX,4143,67
ASK,BSX,4144,66
BID,BSX,4143,32
ASK,BSX,4143,54
BID,BSX,4142,18
ASK,BSX,4142,66
BID,BSX,4138,87
ASK,BSX,4136,85
BID,BSX,4135,49
ASK,BSX,4135,73
BID,BSX,4134,53
ASK,BSX,4134,56
BID,BSX,4133,28
ASK,BSX,4133,34
BID,BSX,4131,97
ASK,BSX,4131,95
BID,BSX,413,35
ASK,BSX,413,62
BID,BSX,4128,11
