Type,Price,Quantity
BID,18668,22
ASK,18672,93
BID,18664,56
ASK,18663,24
BID,18662,60
ASK,18649,98
BID,18648,75
ASK,18647,83
BID,18633,43
ASK,18631,5
BID,18628,64
ASK,18631,83
BID,18628,94
ASK,18626,22
BID,18622,55
ASK,18619,13
BID,18614,15
ASK,18611,75
BID,1861,92
ASK,18617,58
BID,18602,37
ASK,18606,76
BID,18602,102
ASK,18598,63
BID,18591,13
ASK,18591,30
BID,18583,102
ASK,18587,12
BID,18582,21
ASK,18579,91
BID,18578,72
ASK,18571,43
BID,1857,40
ASK,1857,6
BID,18566,42
ASK,18563,42
BID,18562,12
ASK,18562,47
BID,18552,66
ASK,18552,48
BID,18551,19
ASK,18554,86
BID,1855,1
ASK,18552,44
BID,18547,83
ASK,18546,56
BID,18545,78
ASK,18546,56
BID,18542,83
ASK,18539,92
BID,18512,78
ASK,18517,96
BID,18511,71
ASK,18506,41
BID,18505,39
ASK,18504,79
BID,18501,67
ASK,18503,78
BID,18497,27
ASK,18497,94
BID,18494,98
ASK,18491,7
BID,18489,83
ASK,18487,93
BID,18483,91
ASK,18489,12
BID,18482,8
ASK,18482,38
BID,18481,2
ASK,18482,37
BID,18477,35
ASK,18488,74
BID,18463,11
ASK,1847,29
BID,18463,5
ASK,1845,21
BID,18443,64
ASK,18441,79
BID,1844,27
ASK,18441,11
BID,18438,52
ASK,18437,63
BID,18436,70
ASK,18437,26
BID,18432,24
ASK,1843,26
BID,18429,4
ASK,18426,64
BID,18402,92
ASK,18402,9
BID,18372,70
ASK,18373,39
BID,18372,5
ASK,18375,36
BID,1836,44
ASK,18362,34
BID,18337,58
ASK,18334,43
BID,18331,50
ASK,18328,32
BID,18322,1
ASK,18316,94
BID,18315,59
ASK,18313,34
BID,18312,76
ASK,18317,63
BID,18307,99
ASK,18307,31
BID,18292,71
ASK,18296,36
BID,18288,18
ASK,18289,37
BID,18285,44
ASK,18282,28
BID,18274,85
ASK,18268,20
BID,18267,6
ASK,18269,100
BID,18264,4
ASK,18264,102
BID,18261,89
ASK,18259,19
BID,18258,2
ASK,18258,92
BID,18257,47
ASK,18255,47
BID,18243,64
ASK,18242,8
BID,18241,44
ASK,18241,71
BID,18236,58
ASK,18243,49
BID,18236,40
ASK,18235,67
BID,18232,23
ASK,18233,28
BID,18229,43
ASK,18236,87
BID,18225,50
ASK,18225,93
BID,18223,9
ASK,18211,4
BID,18199,73
ASK,18199,55
BID,18198,48
ASK,18202,44
BID,18196,10
ASK,18202,80
BID,18187,64
ASK,18181,85
BID,1817,88
ASK,18175,71
BID,18142,88
ASK,18143,72
BID,18131,83
ASK,1813,14
BID,18129,43
ASK,18129,7
BID,18113,83
ASK,18111,12
BID,1811,48
ASK,18109,80
BID,18104,78
ASK,18109,49
BID,18094,81
ASK,18089,52
BID,18088,50
ASK,18084,74
BID,18083,65
ASK,18081,22
BID,1808,42
ASK,18078,90
BID,18076,82
ASK,1809,9
BID,18076,22
ASK,1809,17
BID,18076,100
ASK,18077,2
BID,18072,78
ASK,18067,14
BID,18062,48
ASK,18068,7
BID,18053,93
ASK,18049,20
BID,18048,44
ASK,18045,6
BID,18044,5
ASK,18041,45
BID,1804,3
ASK,18035,78
BID,18031,17
ASK,18034,76
BID,18021,39
ASK,18021,81
BID,1802,76
ASK,18019,1
BID,1801,27
ASK,18007,19
BID,18006,56
ASK,1800,74
BID,17999,55
ASK,1800,63
BID,17999,51
ASK,17998,7
BID,17997,6
ASK,17996,59
BID,17992,92
ASK,17993,29
BID,17992,12
ASK,17992,99
BID,17991,94
ASK,17987,47
BID,17985,80
ASK,17991,12
BID,1798,78
ASK,17981,6
BID,1798,89
ASK,1798,31
BID,17973,10
ASK,17972,42
BID,17966,68
ASK,17966,77
BID,17963,88
ASK,17964,40
BID,17951,7
ASK,17952,35
BID,17949,64
ASK,17944,35
BID,17943,51
ASK,17945,86
BID,17938,82
ASK,17939,1
BID,17937,61
ASK,1794,27
BID,17929,59
ASK,17936,37
BID,17919,12
ASK,17921,54
BID,17915,79
ASK,17915,92
BID,17912,99
ASK,17915,86
BID,17912,13
ASK,17911,10
BID,17909,69
ASK,17908,3
BID,17907,61
ASK,17912,80
BID,17906,10
ASK,17903,14
BID,17902,98
ASK,17908,60
BID,17899,5
ASK,17895,1
BID,17887,48
ASK,17887,40
BID,17886,87
ASK,17886,96
BID,17878,22
ASK,17879,50
BID,17878,13
ASK,1788,35
BID,17872,2
ASK,17877,53
BID,17855,47
ASK,17852,5
BID,17851,93
ASK,17852,39
BID,17851,38
ASK,17856,61
BID,17849,77
ASK,17851,58
BID,17846,51
ASK,17851,102
BID,17845,80
ASK,17845,47
BID,17841,31
ASK,17843,11
BID,17841,12
ASK,17842,23
BID,17841,14
ASK,17845,15
BID,17838,40
ASK,17851,37
BID,17838,84
ASK,17843,51
BID,17835,5
ASK,17831,60
BID,1783,75
ASK,17834,94
BID,17829,40
ASK,1783,92
BID,17821,22
ASK,17827,24
BID,17819,57
ASK,1782,7
BID,17818,26
ASK,17815,28
BID,17814,75
ASK,1781,77
BID,17809,73
ASK,17808,43
BID,17798,3
ASK,17798,56
BID,17785,70
ASK,17784,70
BID,17777,25
ASK,17777,1
BID,17776,27
ASK,17777,83
BID,17776,88
ASK,17773,99
BID,17771,30
ASK,17774,6
BID,17755,39
ASK,17758,52
BID,17747,95
ASK,17748,29
BID,17742,37
ASK,17753,72
BID,17733,73
ASK,17728,62
BID,17725,100
ASK,17733,90
BID,17712,25
ASK,17712,63
BID,17704,29
ASK,17701,50
BID,1770,12
ASK,17707,40
BID,1770,89
ASK,17707,63
BID,1770,100
ASK,17694,91
BID,17693,93
ASK,1768,27
BID,17679,70
ASK,17679,64
BID,17676,88
ASK,17675,53
BID,17663,30
ASK,17664,93
BID,17655,21
ASK,17661,100
BID,17651,39
ASK,17654,1
BID,1765,27
ASK,17652,89
BID,17647,54
ASK,17647,31
BID,17645,15
ASK,17646,84
BID,17631,10
ASK,17636,74
BID,1763,27
ASK,17631,27
BID,1763,5
ASK,17629,28
BID,17628,69
ASK,17626,62
BID,1762,22
ASK,17619,58
BID,17606,101
ASK,17604,85
BID,17603,30
ASK,17602,28
BID,17597,93
ASK,17595,56
BID,17592,1
ASK,17586,36
BID,1758,40
ASK,17585,102
BID,17572,70
ASK,17566,50
BID,17557,91
ASK,17562,98
BID,17557,46
ASK,17553,83
BID,17548,75
ASK,17547,62
BID,17545,1
ASK,17551,34
BID,17538,77
ASK,1754,32
BID,17535,78
ASK,17527,89
BID,17526,43
ASK,17527,95
BID,17519,48
ASK,1752,61
BID,17514,10
ASK,17515,62
BID,17508,27
ASK,17512,58
BID,17504,18
ASK,17504,6
BID,1750,54
ASK,17503,6
BID,1750,1
ASK,17503,54
BID,17497,45
ASK,17496,23
BID,17493,38
ASK,17493,49
BID,17492,27
ASK,17493,65
BID,17492,45
ASK,17516,16
BID,17486,8
ASK,1750,33
BID,17481,96
ASK,17496,73
BID,17477,34
ASK,17477,6
BID,17476,93
ASK,17482,29
BID,17472,86
ASK,17471,78
BID,1747,93
ASK,17469,59
BID,17467,23
ASK,17465,100
BID,17464,25
ASK,17472,9
BID,17453,92
ASK,17459,41
BID,17453,88
ASK,17459,63
BID,17433,24
ASK,17438,40
BID,17416,37
ASK,17442,12
BID,1739,27
ASK,17393,33
BID,17381,29
ASK,17379,79
BID,17378,57
ASK,17379,76
BID,17374,34
ASK,17375,10
BID,17374,72
ASK,17375,14
BID,1737,40
ASK,1738,82
BID,17369,97
ASK,1737,66
BID,17362,28
ASK,17362,25
BID,17355,67
ASK,17355,2
BID,17349,101
ASK,17349,38
BID,17347,12
ASK,17345,33
BID,17339,12
ASK,17338,13
BID,17334,30
ASK,1733,58
BID,17328,48
ASK,17325,18
BID,17322,102
ASK,17327,59
BID,17318,87
ASK,17314,84
BID,17308,43
ASK,17309,96
BID,17308,38
ASK,1732,50
BID,17305,67
ASK,17316,61
BID,17299,69
ASK,17296,1
BID,17293,16
ASK,17295,5
BID,17281,13
ASK,17283,100
BID,1728,90
ASK,17281,49
BID,17273,29
ASK,17276,31
BID,17268,14
ASK,17267,88
BID,17266,2
ASK,17267,71
BID,17259,77
ASK,17257,25
BID,17255,6
ASK,17261,27
BID,17254,69
ASK,1725,5
BID,17226,88
ASK,17228,3
BID,17222,71
ASK,17224,10
BID,1722,32
ASK,17228,5
BID,1722,10
ASK,17235,13
BID,17213,11
ASK,17211,84
BID,1721,49
ASK,17211,11
BID,17208,73
ASK,17209,83
BID,17208,66
ASK,17203,63
BID,17202,91
ASK,17215,10
BID,1720,35
ASK,17191,45
BID,17184,23
ASK,17184,12
BID,17183,53
ASK,17183,59
BID,17178,72
ASK,17182,51
BID,17177,29
ASK,17182,35
BID,17176,30
ASK,17179,9
BID,17167,27
ASK,17173,71
BID,17148,98
ASK,17145,86
BID,17117,90
ASK,17128,37
BID,17102,23
ASK,17103,38
BID,17102,11
ASK,17103,29
BID,17102,99
ASK,1710,15
BID,17088,58
ASK,17113,74
BID,17086,54
ASK,17113,70
BID,17083,102
ASK,17082,73
BID,17081,27
ASK,17086,85
BID,1706,90
ASK,1706,80
BID,17059,92
ASK,1706,27
BID,17054,76
ASK,17055,82
BID,17053,28
ASK,17053,16
BID,17052,62
ASK,1705,37
BID,17023,6
ASK,17024,85
BID,17016,28
ASK,17017,98
BID,17016,19
ASK,17021,66
BID,17013,58
ASK,1702,12
BID,17013,92
ASK,17013,3
BID,1701,59
ASK,17011,88
BID,1701,27
ASK,1701,72
BID,16997,58
ASK,16998,10
BID,16997,62
ASK,16996,79
BID,16995,49
ASK,1700,85
BID,16993,59
ASK,16997,75
BID,16993,57
ASK,16991,41
BID,16984,95
ASK,16985,18
BID,16965,3
ASK,16966,39
BID,16965,60
ASK,16964,89
BID,16955,2
ASK,16956,26
BID,1695,82
ASK,16949,22
BID,16929,18
ASK,16937,71
BID,16919,51
ASK,16918,74
BID,16912,8
ASK,16913,27
BID,16909,47
ASK,16909,94
BID,16908,98
ASK,16911,32
BID,16907,77
ASK,16902,26
BID,16893,60
ASK,16894,84
BID,1689,47
ASK,16888,102
BID,16882,97
ASK,16888,58
BID,16877,73
ASK,16878,4
BID,16877,7
ASK,16875,8
BID,16872,38
ASK,1687,69
BID,16861,70
ASK,16862,60
BID,16839,96
ASK,16845,35
BID,16828,57
ASK,16821,40
BID,16808,73
ASK,16808,4
BID,1680,4
ASK,1680,46
BID,16794,17
ASK,1680,1
BID,16792,33
ASK,16794,34
BID,16789,76
ASK,1679,77
BID,16789,20
ASK,16787,71
BID,16786,63
ASK,16788,42
BID,16785,70
ASK,1678,100
BID,1676,47
ASK,16764,66
BID,16745,19
ASK,16746,33
BID,16745,55
ASK,16755,36
BID,16737,44
ASK,16745,35
BID,16737,65
ASK,16739,95
BID,16734,5
ASK,16735,2
BID,16733,97
ASK,16732,89
BID,16723,6
ASK,16723,93
BID,16721,46
ASK,16722,81
BID,16721,83
ASK,1672,45
BID,16716,9
ASK,16718,57
BID,16708,79
ASK,16707,72
BID,16703,53
ASK,1671,38
BID,16701,10
ASK,16692,87
BID,16684,38
ASK,16685,95
BID,16663,6
ASK,16663,31
BID,16652,100
ASK,16655,71
BID,16627,31
ASK,16626,16
BID,1661,20
ASK,16621,81
BID,16597,72
ASK,16597,48
BID,16596,39
ASK,16599,2
BID,16595,29
ASK,16593,54
BID,16543,68
ASK,16543,89
BID,16535,13
ASK,16536,20
BID,16519,25
ASK,16537,41
BID,1651,78
ASK,16511,39
BID,16503,15
ASK,16508,47
BID,16501,31
ASK,16503,7
BID,16501,98
ASK,16496,48
BID,16492,60
ASK,16496,40
BID,16452,10
ASK,16453,27
BID,16452,43
ASK,16455,9
BID,16449,14
ASK,16438,71
BID,16424,55
ASK,16427,97
BID,16423,19
ASK,1642,30
BID,16415,89
ASK,16421,7
BID,16387,7
ASK,1639,63
BID,16361,15
ASK,16362,74
BID,16361,50
ASK,16361,101
BID,16358,88
ASK,16354,3
BID,16334,23
ASK,16335,22
BID,16328,58
ASK,16333,14
BID,16324,1
ASK,16323,66
BID,16322,41
ASK,16323,91
BID,16321,93
ASK,16322,75
BID,16299,74
ASK,16297,91
BID,16287,67
ASK,16291,67
BID,16279,92
ASK,16283,11
BID,16249,5
ASK,16246,70
BID,16223,33
ASK,16221,25
BID,1622,11
ASK,16221,83
BID,1622,83
ASK,16219,15
BID,16213,31
ASK,16224,33
BID,16202,84
ASK,16202,56
BID,16194,36
ASK,16195,93
BID,1619,10
ASK,16188,35
BID,16184,22
ASK,1619,96
BID,16183,44
ASK,1619,72
BID,16176,56
ASK,16174,15
