Type,Symbol,Price,Quantity
BID,MMM,12455,98
ASK,MMM,12457,27
BID,MMM,12453,77
ASK,MMM,12457,95
BID,MMM,12452,93
ASK,MMM,1245,25
BID,MMM,12448,28
ASK,MMM,12448,64
BID,MMM,1244,43
ASK,MMM,12438,21
BID,MMM,12433,92
ASK,MMM,12432,11
BID,MMM,12431,50
ASK,MMM,1243,99
BID,MMM,12427,54
ASK,MMM,12427,56
BID,MMM,12426,6
ASK,MMM,1243,3
BID,MMM,12425,89
ASK,MMM,12422,41
BID,MMM,12422,15
ASK,MMM,12421,66
BID,MMM,1242,41
ASK,MMM,12419,40
BID,MMM,12413,27
ASK,MMM,12413,59
BID,MMM,12412,70
ASK,MMM,12412,26
BID,MMM,12412,89
ASK,MMM,12412,76
BID,MMM,12407,12
ASK,MMM,12407,89
BID,MMM,12403,20
ASK,MMM,12401,61
BID,MMM,12399,35
ASK,MMM,1240,22
BID,MMM,12399,15
ASK,MMM,1239,36
BID,MMM,12388,102
ASK,MMM,12387,22
BID,MMM,12385,83
ASK,MMM,12381,97
BID,MMM,12376,80
ASK,MMM,12373,75
BID,MMM,12371,28
ASK,MMM,12362,39
BID,MMM,12357,92
ASK,MMM,12362,80
BID,MMM,1235,49
ASK,MMM,12348,80
BID,MMM,12346,46
ASK,MMM,12347,49
BID,MMM,12346,102
ASK,MMM,12342,4
BID,MMM,12341,13
ASK,MMM,12342,47
BID,MMM,12339,43
ASK,MMM,1234,28
BID,MMM,12332,83
ASK,MMM,12328,60
BID,MMM,12327,25
ASK,MMM,12325,21
BID,MMM,12322,53
ASK,MMM,12319,38
BID,MMM,12318,61
ASK,MMM,12319,63
BID,MMM,12318,14
ASK,MMM,12316,10
BID,MMM,12312,14
ASK,MMM,12311,59
BID,MMM,12307,42
ASK,MMM,12308,89
BID,MMM,12307,101
ASK,MMM,12307,78
BID,MMM,12297,42
ASK,MMM,12297,55
BID,MMM,12294,72
ASK,MMM,1229,6
BID,MMM,12289,62
ASK,MMM,12288,70
BID,MMM,12287,1
ASK,MMM,12287,59
BID,MMM,12282,10
ASK,MMM,12279,88
BID,MMM,12278,84
ASK,MMM,12279,29
BID,MMM,1227,55
ASK,MMM,12269,39
BID,MMM,12268,14
ASK,MMM,12269,31
BID,MMM,12267,37
ASK,MMM,12268,29
