Type,Symbol,Price,Quantity
BID,MSFT,28365,33
ASK,MSFT,28361,48
BID,MSFT,28358,28
ASK,MSFT,28359,39
BID,MSFT,28324,81
ASK,MSFT,28323,60
BID,MSFT,28315,24
ASK,MSFT,28335,12
BID,MSFT,28289,4
ASK,MSFT,28291,25
BID,MSFT,28287,83
ASK,MSFT,28286,4
BID,MSFT,28285,86
ASK,MSFT,28254,51
BID,MSFT,28251,98
ASK,MSFT,28247,30
BID,MSFT,28246,96
ASK,MSFT,28231,47
BID,MSFT,28229,13
ASK,MSFT,28202,3
BID,MSFT,28197,33
ASK,MSFT,28187,42
BID,MSFT,28186,25
ASK,MSFT,2819,94
BID,MSFT,28177,91
ASK,MSFT,28172,99
BID,MSFT,28169,98
ASK,MSFT,28139,50
BID,MSFT,28138,20
ASK,MSFT,28106,82
BID,MSFT,28104,64
ASK,MSFT,28102,47
BID,MSFT,28098,71
ASK,MSFT,28081,64
BID,MSFT,28077,9
ASK,MSFT,28087,96
BID,MSFT,28075,21
ASK,MSFT,28081,54
BID,MSFT,28074,26
ASK,MSFT,28076,69
BID,MSFT,28065,59
ASK,MSFT,28058,8
BID,MSFT,28057,27
ASK,MSFT,2806,57
BID,MSFT,28052,93
ASK,MSFT,28054,22
BID,MSFT,28052,50
ASK,MSFT,28038,78
BID,MSFT,2803,65
ASK,MSFT,28035,81
BID,MSFT,28014,78
ASK,MSFT,28007,2
BID,MSFT,28002,41
ASK,MSFT,28002,91
BID,MSFT,27998,100
ASK,MSFT,27992,62
BID,MSFT,27978,65
ASK,MSFT,27992,67
BID,MSFT,27978,43
ASK,MSFT,27944,99
BID,MSFT,27941,2
ASK,MSFT,27932,41
BID,MSFT,27931,68
ASK,MSFT,27902,17
BID,MSFT,27897,32
ASK,MSFT,27901,80
BID,MSFT,27801,39
ASK,MSFT,27802,59
BID,MSFT,27795,4
ASK,MSFT,27795,94
BID,MSFT,27791,19
ASK,MSFT,27787,81
BID,MSFT,2778,11
ASK,MSFT,27766,27
BID,MSFT,27764,35
ASK,MSFT,27766,19
BID,MSFT,2776,102
ASK,MSFT,27766,13
BID,MSFT,2776,54
ASK,MSFT,27762,18
BID,MSFT,27758,69
ASK,MSFT,27774,74
BID,MSFT,27757,7
ASK,MSFT,27768,96
BID,MSFT,27753,90
ASK,MSFT,27764,38
BID,MSFT,27747,65
ASK,MSFT,27733,39
BID,MSFT,27725,78
ASK,MSFT,27711,49
BID,MSFT,27682,51
ASK,MSFT,27644,52
BID,MSFT,27642,32
ASK,MSFT,27642,74
BID,MSFT,27641,94
ASK,MSFT,27647,10
BID,MSFT,27639,83
ASK,MSFT,27644,91
BID,MSFT,27637,97
ASK,MSFT,27624,11
BID,MSFT,27591,33
ASK,MSFT,27597,23
BID,MSFT,2758,83
ASK,MSFT,27579,85
BID,MSFT,27572,61
ASK,MSFT,27557,75
BID,MSFT,27524,95
ASK,MSFT,27526,3
BID,MSFT,27523,101
ASK,MSFT,27482,1
BID,MSFT,27474,5
ASK,MSFT,27473,32
BID,MSFT,27472,13
ASK,MSFT,27463,91
BID,MSFT,27411,29
ASK,MSFT,27404,60
BID,MSFT,27379,82
ASK,MSFT,27384,26
BID,MSFT,27325,39
ASK,MSFT,27329,50
BID,MSFT,2732,28
ASK,MSFT,27329,44
BID,MSFT,27292,21
ASK,MSFT,2725,28
BID,MSFT,27241,76
ASK,MSFT,27236,64
BID,MSFT,27235,100
ASK,MSFT,27229,54
BID,MSFT,27222,94
ASK,MSFT,27224,82
BID,MSFT,27213,88
ASK,MSFT,27204,65
BID,MSFT,2720,3
ASK,MSFT,27201,5
BID,MSFT,27177,98
ASK,MSFT,27172,83
BID,MSFT,27142,31
ASK,MSFT,2714,15
BID,MSFT,27138,41
ASK,MSFT,27132,98
BID,MSFT,27093,44
ASK,MSFT,2709,44
BID,MSFT,27073,47
ASK,MSFT,27047,31
BID,MSFT,27024,55
ASK,MSFT,27027,29
BID,MSFT,27006,66
ASK,MSFT,27005,35
BID,MSFT,26947,84
ASK,MSFT,26946,76
BID,MSFT,26939,18
ASK,MSFT,26933,74
BID,MSFT,26874,39
ASK,MSFT,26875,10
BID,MSFT,26874,96
ASK,MSFT,26872,17
BID,MSFT,26871,56
ASK,MSFT,26868,69
BID,MSFT,26846,35
ASK,MSFT,26838,59
BID,MSFT,26824,75
ASK,MSFT,26826,58
BID,MSFT,26817,24
ASK,MSFT,26798,71
BID,MSFT,26766,5
ASK,MSFT,26766,14
BID,MSFT,26759,33
ASK,MSFT,26759,5
BID,MSFT,26726,10
ASK,MSFT,26691,6
BID,MSFT,26686,52
ASK,MSFT,26668,11
BID,MSFT,26666,75
ASK,MSFT,26676,4
BID,MSFT,26666,85
ASK,MSFT,26664,30
BID,MSFT,26626,11
ASK,MSFT,26625,84
BID,MSFT,26621,57
ASK,MSFT,26586,75
BID,MSFT,26558,73
ASK,MSFT,26552,88
BID,MSFT,26551,1
ASK,MSFT,26553,102
BID,MSFT,26548,50
ASK,MSFT,26528,56
BID,MSFT,26527,21
ASK,MSFT,26531,25
BID,MSFT,26523,86
ASK,MSFT,26514,52
BID,MSFT,26502,47
ASK,MSFT,26496,24
BID,MSFT,26489,10
ASK,MSFT,26488,37
BID,MSFT,26486,10
ASK,MSFT,26471,35
BID,MSFT,2647,26
ASK,MSFT,26461,49
BID,MSFT,2646,25
ASK,MSFT,26459,99
BID,MSFT,26455,75
ASK,MSFT,26464,19
BID,MSFT,26454,25
ASK,MSFT,26444,35
BID,MSFT,26368,26
ASK,MSFT,26376,85
BID,MSFT,26333,2
ASK,MSFT,26311,24
BID,MSFT,2631,32
ASK,MSFT,2630,76
BID,MSFT,26295,41
ASK,MSFT,26297,23
BID,MSFT,26275,67
ASK,MSFT,26263,23
BID,MSFT,26258,72
ASK,MSFT,26266,30
BID,MSFT,26222,102
ASK,MSFT,26227,32
BID,MSFT,26219,91
ASK,MSFT,2622,64
BID,MSFT,26213,40
ASK,MSFT,2622,26
BID,MSFT,26182,1
ASK,MSFT,26168,65
BID,MSFT,26155,82
ASK,MSFT,2616,58
BID,MSFT,26151,48
ASK,MSFT,26146,81
BID,MSFT,26144,48
ASK,MSFT,26115,59
BID,MSFT,26114,4
ASK,MSFT,26113,10
BID,MSFT,26105,9
ASK,MSFT,26091,20
BID,MSFT,2609,88
ASK,MSFT,26084,83
BID,MSFT,26073,56
ASK,MSFT,26067,96
BID,MSFT,26066,22
ASK,MSFT,26067,50
BID,MSFT,26064,25
ASK,MSFT,26074,11
BID,MSFT,26061,7
ASK,MSFT,26065,24
BID,MSFT,26039,16
ASK,MSFT,26046,98
BID,MSFT,26038,80
ASK,MSFT,26038,64
BID,MSFT,26034,64
ASK,MSFT,26027,28
BID,MSFT,25989,102
ASK,MSFT,2599,8
BID,MSFT,25987,3
ASK,MSFT,26005,40
BID,MSFT,25957,24
ASK,MSFT,25962,41
BID,MSFT,25952,11
ASK,MSFT,25962,95
BID,MSFT,25948,53
ASK,MSFT,2595,17
BID,MSFT,25943,4
ASK,MSFT,25951,102
BID,MSFT,25931,19
ASK,MSFT,25932,7
BID,MSFT,25891,86
ASK,MSFT,25895,81
BID,MSFT,25884,90
ASK,MSFT,25888,26
BID,MSFT,25882,5
ASK,MSFT,25887,83
BID,MSFT,25882,66
ASK,MSFT,25856,86
BID,MSFT,25853,98
ASK,MSFT,25857,100
BID,MSFT,25852,1
ASK,MSFT,25849,6
BID,MSFT,25837,99
ASK,MSFT,25834,31
BID,MSFT,25828,40
ASK,MSFT,25829,15
BID,MSFT,25809,13
ASK,MSFT,2581,76
BID,MSFT,25806,7
ASK,MSFT,2581,20
BID,MSFT,25806,2
ASK,MSFT,25809,81
BID,MSFT,25798,35
ASK,MSFT,25787,14
BID,MSFT,25783,102
ASK,MSFT,25747,2
BID,MSFT,25739,86
ASK,MSFT,25723,23
BID,MSFT,2572,64
ASK,MSFT,2572,6
BID,MSFT,25719,4
ASK,MSFT,25722,57
BID,MSFT,25693,10
ASK,MSFT,25695,12
BID,MSFT,25692,29
ASK,MSFT,25695,87
BID,MSFT,2569,24
ASK,MSFT,25699,78
BID,MSFT,25686,102
ASK,MSFT,25681,48
BID,MSFT,25675,18
ASK,MSFT,25676,60
BID,MSFT,25663,91
ASK,MSFT,25649,95
BID,MSFT,25609,30
ASK,MSFT,25613,95
BID,MSFT,25609,53
ASK,MSFT,25613,46
BID,MSFT,25609,100
ASK,MSFT,25596,40
