Type,Symbol,Price,Quantity
BID,SBUX,9079,27
ASK,SBUX,908,19
BID,SBUX,9077,45
ASK,SBUX,9079,11
BID,SBUX,9077,33
ASK,SBUX,908,69
BID,SBUX,9075,65
ASK,SBUX,9071,16
BID,SBUX,907,23
ASK,SBUX,9071,19
BID,SBUX,9067,49
ASK,SBUX,9068,33
BID,SBUX,9067,32
ASK,SBUX,9065,63
BID,SBUX,9064,67
ASK,SBUX,9062,50
BID,SBUX,9058,90
ASK,SBUX,906,17
BID,SBUX,9058,62
ASK,SBUX,906,15
BID,SBUX,9056,32
ASK,SBUX,9056,97
BID,SBUX,9051,24
ASK,SBUX,9052,21
BID,SBUX,9048,83
ASK,SBUX,9049,25
BID,SBUX,9042,10
ASK,SBUX,9042,34
BID,SBUX,9038,60
ASK,SBUX,9039,73
BID,SBUX,9038,95
ASK,SBUX,9042,20
BID,SBUX,9038,102
ASK,SBUX,9042,89
BID,SBUX,9023,31
ASK,SBUX,9022,100
BID,SBUX,9016,95
ASK,SBUX,9017,35
BID,SBUX,9015,37
ASK,SBUX,9016,51
BID,SBUX,9015,71
ASK,SBUX,9015,55
BID,SBUX,9014,6
ASK,SBUX,9015,85
BID,SBUX,9014,29
ASK,SBUX,9014,60
BID,SBUX,9012,94
ASK,SBUX,9013,10
BID,SBUX,9006,87
ASK,SBUX,9006,27
BID,SBUX,9003,65
ASK,SBUX,9005,65
BID,SBUX,9003,16
ASK,SBUX,9002,25
BID,SBUX,8997,83
ASK,SBUX,8997,11
BID,SBUX,8996,73
ASK,SBUX,8993,59
BID,SBUX,8992,96
ASK,SBUX,8991,42
BID,SBUX,899,20
ASK,SBUX,8991,82
BID,SBUX,899,63
ASK,SBUX,8991,46
BID,SBUX,8985,24
ASK,SBUX,898,17
BID,SBUX,8977,43
ASK,SBUX,8978,73
BID,SBUX,8977,84
ASK,SBUX,8978,57
BID,SBUX,8968,80
ASK,SBUX,8972,102
BID,SBUX,8966,52
ASK,SBUX,897,2
BID,SBUX,8966,45
ASK,SBUX,8966,83
BID,SBUX,8959,60
ASK,SBUX,8958,43
BID,SBUX,8954,77
ASK,SBUX,8954,24
BID,SBUX,8952,66
ASK,SBUX,8959,46
BID,SBUX,8951,58
ASK,SBUX,8951,91
BID,SBUX,895,46
ASK,SBUX,8948,22
BID,SBUX,8946,69
ASK,SBUX,8947,81
BID,SBUX,8946,20
ASK,SBUX,8946,66
BID,SBUX,8941,67
ASK,SBUX,8943,91
BID,SBUX,8941,47
ASK,SBUX,894,21
BID,SBUX,8939,66
ASK,SBUX,8938,43
BID,SBUX,8937,20
ASK,SBUX,8937,98
BID,SBUX,8935,9
ASK,SBUX,8935,48
BID,SBUX,8934,54
ASK,SBUX,8936,51
BID,SBUX,8933,100
ASK,SBUX,8933,98
BID,SBUX,8931,84
ASK,SBUX,8933,58
BID,SBUX,8931,12
ASK,SBUX,893,84
BID,SBUX,8929,71
ASK,SBUX,893,11
BID,SBUX,8924,12
ASK,SBUX,8924,74
BID,SBUX,8918,28
ASK,SBUX,8917,73
BID,SBUX,8916,20
ASK,SBUX,8917,78
BID,SBUX,8916,94
ASK,SBUX,8908,56
BID,SBUX,8907,42
ASK,SBUX,890,91
BID,SBUX,8898,53
ASK,SBUX,8898,102
BID,SBUX,8895,2
ASK,SBUX,8892,74
BID,SBUX,8889,2
ASK,SBUX,889,75
BID,SBUX,8889,75
ASK,SBUX,8888,4
BID,SBUX,8884,64
ASK,SBUX,8884,93
BID,SBUX,8883,31
ASK,SBUX,8884,42
BID,SBUX,8877,89
ASK,SBUX,8877,11
BID,SBUX,8876,97
ASK,SBUX,8877,29
BID,SBUX,8876,19
ASK,SBUX,8874,48
BID,SBUX,8873,33
ASK,SBUX,8877,34
BID,SBUX,8873,58
ASK,SBUX,8872,40
BID,SBUX,887,37
ASK,SBUX,887,36
BID,SBUX,8865,18
ASK,SBUX,8867,34
BID,SBUX,8863,66
ASK,SBUX,8863,62
BID,SBUX,8859,100
ASK,SBUX,886,68
BID,SBUX,8859,98
ASK,SBUX,8859,96
BID,SBUX,8858,97
ASK,SBUX,8857,70
BID,SBUX,8856,56
ASK,SBUX,8856,46
BID,SBUX,8855,91
ASK,SBUX,8856,27
BID,SBUX,8855,47
ASK,SBUX,8854,71
BID,SBUX,8853,3
ASK,SBUX,8853,43
BID,SBUX,8851,64
ASK,SBUX,8852,101
BID,SBUX,8849,96
ASK,SBUX,8851,65
BID,SBUX,8848,27
ASK,SBUX,8847,5
BID,SBUX,8846,80
ASK,SBUX,8845,101
BID,SBUX,8841,59
ASK,SBUX,8839,59
BID,SBUX,8838,47
ASK,SBUX,8839,99
BID,SBUX,8837,24
ASK,SBUX,884,23
BID,SBUX,8837,95
ASK,SBUX,8839,37
BID,SBUX,8837,46
ASK,SBUX,8837,71
BID,SBUX,8836,81
ASK,SBUX,8837,82
BID,SBUX,8835,21
ASK,SBUX,8835,36
BID,SBUX,8834,79
ASK,SBUX,8835,83
BID,SBUX,8834,94
ASK,SBUX,8835,85
BID,SBUX,8834,79
ASK,SBUX,8832,54
BID,SBUX,8831,66
ASK,SBUX,883,37
BID,SBUX,8829,84
ASK,SBUX,883,24
BID,SBUX,8826,93
ASK,SBUX,8827,2
BID,SBUX,8825,11
ASK,SBUX,8826,49
BID,SBUX,8825,53
ASK,SBUX,8825,43
BID,SBUX,8821,77
ASK,SBUX,8821,78
BID,SBUX,8819,27
ASK,SBUX,8821,60
BID,SBUX,8819,36
ASK,SBUX,8819,70
BID,SBUX,8818,87
ASK,SBUX,8819,71
BID,SBUX,8817,23
ASK,SBUX,8813,87
BID,SBUX,8811,89
ASK,SBUX,8813,5
BID,SBUX,8811,48
ASK,SBUX,881,51
BID,SBUX,8803,85
ASK,SBUX,8803,5
BID,SBUX,8799,5
ASK,SBUX,880,35
BID,SBUX,8796,61
ASK,SBUX,8793,71
BID,SBUX,879,1
ASK,SBUX,879,74
BID,SBUX,8789,91
ASK,SBUX,8788,56
BID,SBUX,8787,57
ASK,SBUX,8787,66
BID,SBUX,8785,72
ASK,SBUX,8785,72
BID,SBUX,8783,63
ASK,SBUX,8784,49
BID,SBUX,8778,39
ASK,SBUX,8772,1
BID,SBUX,8766,58
ASK,SBUX,8768,2
BID,SBUX,8766,12
ASK,SBUX,8765,28
BID,SBUX,8764,100
ASK,SBUX,8767,49
BID,SBUX,8764,22
ASK,SBUX,8761,77
BID,SBUX,876,60
ASK,SBUX,8762,12
BID,SBUX,8759,67
ASK,SBUX,876,47
BID,SBUX,8759,32
ASK,SBUX,8757,95
BID,SBUX,8755,81
ASK,SBUX,8755,101
BID,SBUX,8754,53
ASK,SBUX,8756,94
BID,SBUX,875,88
ASK,SBUX,8752,43
BID,SBUX,8746,94
ASK,SBUX,8746,38
BID,SBUX,8741,11
ASK,SBUX,8742,87
BID,SBUX,8741,66
ASK,SBUX,8743,7
BID,SBUX,874,54
ASK,SBUX,8742,24
BID,SBUX,8735,31
ASK,SBUX,8736,54
BID,SBUX,8731,29
ASK,SBUX,8729,13
BID,SBUX,8728,38
ASK,SBUX,8728,89
BID,SBUX,8727,53
ASK,SBUX,8728,60
BID,SBUX,8726,8
ASK,SBUX,8726,99
BID,SBUX,8725,42
ASK,SBUX,8725,75
BID,SBUX,872,28
ASK,SBUX,8722,30
BID,SBUX,8719,76
ASK,SBUX,872,96
BID,SBUX,8719,15
ASK,SBUX,8721,102
BID,SBUX,8716,60
ASK,SBUX,8718,15
BID,SBUX,8713,89
ASK,SBUX,8713,27
BID,SBUX,8712,77
ASK,SBUX,8713,45
BID,SBUX,8711,54
ASK,SBUX,8713,98
BID,SBUX,8711,74
ASK,SBUX,8711,79
BID,SBUX,871,26
ASK,SBUX,8711,72
BID,SBUX,871,67
ASK,SBUX,8711,5
BID,SBUX,8709,97
ASK,SBUX,871,15
BID,SBUX,8708,20
ASK,SBUX,8709,10
BID,SBUX,8706,82
ASK,SBUX,8706,88
BID,SBUX,8705,98
ASK,SBUX,8705,68
BID,SBUX,8703,95
ASK,SBUX,8704,33
BID,SBUX,870,65
ASK,SBUX,870,44
BID,SBUX,8699,37
ASK,SBUX,8701,38
BID,SBUX,8699,22
ASK,SBUX,8702,6
BID,SBUX,8697,56
ASK,SBUX,8702,12
BID,SBUX,8695,40
ASK,SBUX,8692,50
BID,SBUX,8688,24
ASK,SBUX,8688,76
BID,SBUX,8686,74
ASK,SBUX,8689,79
BID,SBUX,8686,41
ASK,SBUX,8687,62
BID,SBUX,8686,35
ASK,SBUX,8687,76
BID,SBUX,8686,5
ASK,SBUX,8688,64
BID,SBUX,8685,40
ASK,SBUX,8685,67
BID,SBUX,8681,32
ASK,SBUX,8681,30
BID,SBUX,868,16
ASK,SBUX,868,72
BID,SBUX,8677,13
ASK,SBUX,8679,55
BID,SBUX,8675,64
ASK,SBUX,8677,16
BID,SBUX,8674,31
ASK,SBUX,8675,20
BID,SBUX,8674,35
ASK,SBUX,8677,97
BID,SBUX,8673,75
ASK,SBUX,8674,76
BID,SBUX,8673,39
ASK,SBUX,8671,43
BID,SBUX,867,1
ASK,SBUX,8671,64
BID,SBUX,8668,20
ASK,SBUX,8671,67
BID,SBUX,8668,29
ASK,SBUX,8665,47
