Type,Symbol,Price,Quantity
ASK,TUS,1954,82
BID,TUS,1953,6
ASK,TUS,1954,55
BID,TUS,1953,75
ASK,TUS,1954,75
BID,TUS,1953,72
ASK,TUS,1953,25
BID,TUS,1952,7
ASK,TUS,1953,3
BID,TUS,1952,98
ASK,TUS,1952,48
BID,TUS,1951,97
ASK,TUS,1952,16
BID,TUS,1951,82
ASK,TUS,195,75
BID,TUS,1949,39
ASK,TUS,1949,77
BID,TUS,1948,25
ASK,TUS,1949,94
BID,TUS,1948,74
ASK,TUS,1949,15
BID,TUS,1948,19
ASK,TUS,1948,54
BID,TUS,1947,71
ASK,TUS,1948,66
BID,TUS,1947,5
ASK,TUS,1947,8
BID,TUS,1946,49
ASK,TUS,1946,73
BID,TUS,1945,21
ASK,TUS,1945,16
BID,TUS,1944,62
ASK,TUS,1945,100
BID,TUS,1944,47
ASK,TUS,1944,89
BID,TUS,1944,61
ASK,TUS,1944,5
BID,TUS,1943,57
ASK,TUS,1944,27
BID,TUS,1943,47
ASK,TUS,1943,8
BID,TUS,1942,48
ASK,TUS,1943,71
BID,TUS,1942,72
ASK,TUS,1943,54
BID,TUS,1942,38
ASK,TUS,1942,93
BID,TUS,1941,91
ASK,TUS,1942,91
BID,TUS,1941,27
ASK,TUS,1941,25
BID,TUS,194,95
ASK,TUS,1941,29
BID,TUS,194,6
ASK,TUS,194,66
BID,TUS,1939,67
ASK,TUS,194,93
BID,TUS,1939,65
ASK,TUS,194,12
BID,TUS,1939,46
ASK,TUS,1937,44
BID,TUS,1936,6
ASK,TUS,1937,42
BID,TUS,1936,52
ASK,TUS,1937,93
BID,TUS,1936,85
ASK,TUS,1936,76
BID,TUS,1935,32
ASK,TUS,1936,85
BID,TUS,1935,77
ASK,TUS,1936,24
BID,TUS,1935,36
ASK,TUS,1935,27
BID,TUS,1934,7
ASK,TUS,1935,72
BID,TUS,1934,14
ASK,TUS,1934,9
BID,TUS,1933,79
ASK,TUS,1934,87
BID,TUS,1933,89
ASK,TUS,1932,2
BID,TUS,1931,71
ASK,TUS,1931,87
BID,TUS,1931,99
ASK,TUS,1931,82
BID,TUS,193,87
ASK,TUS,193,26
BID,TUS,1929,81
ASK,TUS,1929,32
BID,TUS,1928,52
ASK,TUS,1928,25
BID,TUS,1928,73
ASK,TUS,1927,48
BID,TUS,1926,9
ASK,TUS,1927,97
BID,TUS,1926,41
ASK,TUS,1926,50
BID,TUS,1925,12
ASK,TUS,1926,33
BID,TUS,1925,45
ASK,TUS,1926,55
BID,TUS,1925,17
ASK,TUS,1926,39
BID,TUS,1925,72
ASK,TUS,1925,69
BID,TUS,1924,33
ASK,TUS,1925,2
BID,TUS,1924,102
ASK,TUS,1925,85
BID,TUS,1924,96
ASK,TUS,1924,90
BID,TUS,1923,58
ASK,TUS,1923,15
BID,TUS,1922,46
ASK,TUS,1922,5
BID,TUS,1921,18
ASK,TUS,1921,48
BID,TUS,192,45
ASK,TUS,1921,35
BID,TUS,192,18
ASK,TUS,1921,83
BID,TUS,192,30
ASK,TUS,192,15
BID,TUS,1919,58
ASK,TUS,1919,72
BID,TUS,1919,91
ASK,TUS,1919,89
BID,TUS,1918,65
ASK,TUS,1918,23
BID,TUS,1917,18
ASK,TUS,1917,25
BID,TUS,1916,71
ASK,TUS,1917,92
BID,TUS,1916,45
ASK,TUS,1916,11
BID,TUS,1915,6
ASK,TUS,1916,16
BID,TUS,1915,63
ASK,TUS,1916,60
BID,TUS,1915,18
ASK,TUS,1916,69
BID,TUS,1915,58
ASK,TUS,1915,43
BID,TUS,1914,68
ASK,TUS,1915,90
BID,TUS,1914,29
ASK,TUS,1915,19
BID,TUS,1914,101
ASK,TUS,1913,53
BID,TUS,1912,44
ASK,TUS,1913,31
BID,TUS,1912,65
ASK,TUS,1913,101
BID,TUS,1912,65
ASK,TUS,1913,47
BID,TUS,1912,67
ASK,TUS,1913,10
BID,TUS,1912,31
ASK,TUS,1912,42
BID,TUS,1911,3
ASK,TUS,1912,80
BID,TUS,1911,34
ASK,TUS,191,24
BID,TUS,191,49
ASK,TUS,191,22
BID,TUS,1909,38
ASK,TUS,191,19
BID,TUS,1909,79
ASK,TUS,191,48
BID,TUS,1909,82
ASK,TUS,191,99
BID,TUS,1909,21
ASK,TUS,1909,74
BID,TUS,1908,1
ASK,TUS,1909,61
BID,TUS,1908,68
ASK,TUS,1908,15
BID,TUS,1907,54
ASK,TUS,1908,5
BID,TUS,1907,27
ASK,TUS,1908,68
BID,TUS,1907,57
ASK,TUS,1907,9
BID,TUS,1906,77
ASK,TUS,1906,58
BID,TUS,1905,46
ASK,TUS,1906,6
BID,TUS,1905,92
ASK,TUS,1904,38
BID,TUS,1904,91
ASK,TUS,1904,36
BID,TUS,1903,47
ASK,TUS,1904,34
BID,TUS,1903,97
ASK,TUS,1903,37
BID,TUS,1902,47
ASK,TUS,1902,27
BID,TUS,1901,75
ASK,TUS,1902,34
BID,TUS,1901,18
ASK,TUS,1902,35
BID,TUS,1901,13
ASK,TUS,1901,4
BID,TUS,190,48
ASK,TUS,1901,81
BID,TUS,190,49
ASK,TUS,1901,90
BID,TUS,190,99
ASK,TUS,1901,28
BID,TUS,190,94
ASK,TUS,190,18
BID,TUS,1899,72
ASK,TUS,1899,13
BID,TUS,1898,48
ASK,TUS,1898,93
BID,TUS,1897,59
ASK,TUS,1898,55
BID,TUS,1897,35
ASK,TUS,1898,98
