Type,Price,Quantity
BID,4824,79
ASK,4824,48
BID,4823,84
ASK,4823,87
BID,4823,60
ASK,4826,46
BID,4822,29
ASK,4822,9
BID,4822,84
ASK,4822,36
BID,4821,40
ASK,4822,21
BID,4821,59
ASK,4822,21
BID,4821,23
ASK,4819,13
BID,4818,41
ASK,4818,81
BID,4818,16
ASK,4817,78
BID,4817,69
ASK,4817,54
BID,4817,71
ASK,4817,61
BID,4817,45
ASK,4814,79
BID,4813,73
ASK,4814,48
BID,4813,71
ASK,4812,5
BID,4811,98
ASK,4811,17
BID,4811,41
ASK,4812,66
BID,481,8
ASK,4809,6
BID,4809,6
ASK,4809,101
BID,4809,59
ASK,4808,18
BID,4808,6
ASK,4808,94
BID,4807,82
ASK,4808,100
BID,4807,40
ASK,4807,94
BID,4807,74
ASK,4808,69
BID,4807,92
ASK,4807,72
BID,4806,71
ASK,4805,62
BID,4805,76
ASK,4805,21
BID,4804,85
ASK,4803,67
BID,4803,82
ASK,4803,32
BID,4803,58
ASK,4802,102
BID,4802,82
ASK,4802,102
BID,4801,40
ASK,4801,100
BID,4801,15
ASK,480,16
BID,480,13
ASK,4799,41
BID,4798,61
ASK,4798,10
BID,4798,71
ASK,4797,34
BID,4797,17
ASK,4797,60
BID,4796,93
ASK,4796,19
BID,4795,46
ASK,4795,93
BID,4794,62
ASK,4794,70
BID,4794,49
ASK,4795,50
BID,4793,43
ASK,4794,56
BID,4792,62
ASK,4791,20
BID,4791,75
ASK,4792,10
BID,4791,78
ASK,4792,76
BID,4791,84
ASK,4791,78
BID,479,6
ASK,479,91
BID,4788,34
ASK,4788,45
BID,4788,72
ASK,4788,22
BID,4788,11
ASK,4788,43
BID,4787,73
ASK,4786,83
BID,4786,62
ASK,4786,96
BID,4786,84
ASK,4785,50
BID,4785,48
ASK,4784,20
BID,4783,54
ASK,4784,102
BID,4783,60
ASK,4784,75
BID,4783,75
ASK,4784,75
BID,4782,49
ASK,4782,72
BID,4782,65
ASK,4782,50
BID,4782,44
ASK,4782,18
BID,4781,18
ASK,478,41
BID,478,8
ASK,4776,87
BID,4776,20
ASK,4777,78
BID,4776,18
ASK,4775,68
BID,4775,53
ASK,4776,36
BID,4773,25
ASK,4773,36
BID,4772,4
ASK,4772,30
BID,4772,74
ASK,4772,22
BID,4772,70
ASK,4772,66
BID,4772,86
ASK,4769,34
BID,4769,9
ASK,4769,73
BID,4767,8
ASK,4767,26
BID,4767,57
ASK,4767,98
BID,4765,18
ASK,4763,37
BID,4762,32
ASK,4762,73
BID,4761,4
ASK,4762,99
BID,4761,27
ASK,4762,37
BID,4761,83
ASK,4764,33
BID,4761,96
ASK,4761,56
BID,476,77
ASK,476,38
BID,476,102
ASK,476,102
BID,476,71
ASK,476,97
BID,4759,80
ASK,4759,93
BID,4759,6
ASK,476,52
BID,4759,47
ASK,4759,37
BID,4758,75
ASK,4757,102
BID,4757,72
ASK,4758,8
BID,4757,74
ASK,4757,85
BID,4757,65
ASK,4757,48
BID,4756,78
ASK,4755,40
BID,4754,82
ASK,4755,22
BID,4754,41
ASK,4756,53
BID,4754,44
ASK,4754,50
BID,4754,60
ASK,4754,98
