index,word0,word1,engine_id,quantity,price,timestamp
0,0x82b8181d,0x00133bc5,0,19,153.01,2193102877
1,0x82b8181d,0x04216ecd,4,33,283.65,2193102877
2,0x82b8181d,0x05132377,5,19,90.79,2193102877
3,0x82b8181d,0x073012d8,7,48,48.24,2193102877
4,0x82b8181d,0x00013bc5,0,1,153.01,2193102877
5,0x82b8181d,0x013d1128,1,61,43.92,2193102877
6,0x82b8181d,0x021648ec,2,22,186.68,2193102877
7,0x82b8181d,0x05082377,5,8,90.79,2193102877
8,0x82b8181d,0x071f12d8,7,31,48.24,2193102877
9,0x82b81836,0x00063bc2,0,6,152.98,2193102902
10,0x82b81839,0x073812d7,7,56,48.23,2193102905
11,0x82b8182e,0x01051127,1,5,43.91,2193102894
12,0x82b8182e,0x020248e8,2,2,186.64,2193102894
13,0x82b8181d,0x031930a7,3,25,124.55,2193102877
14,0x82b81837,0x041c6ec6,4,28,283.58,2193102903
15,0x82b81836,0x00353bc2,0,53,152.98,2193102902
16,0x82b81838,0x052d2375,5,45,90.77,2193102904
17,0x82b81823,0x060607a1,6,6,19.53,2193102883
18,0x82b81851,0x04206ea4,4,32,283.24,2193102929
19,0x82b8182e,0x01031127,1,3,43.91,2193102894
20,0x82b8182e,0x023648e8,2,54,186.64,2193102894
21,0x82b8185d,0x05182375,5,24,90.77,2193102941
22,0x82b81836,0x00043bc2,0,4,152.98,2193102902
23,0x82b8183b,0x061307a1,6,19,19.53,2193102907
24,0x82b81839,0x070912d7,7,9,48.23,2193102905
25,0x82b8181d,0x034030a7,3,64,124.55,2193102877
26,0x82b8186d,0x022c48e6,2,44,186.62,2193102957
27,0x82b81836,0x00023bc2,0,2,152.98,2193102902
28,0x82b8182e,0x014d1127,1,77,43.91,2193102894
29,0x82b8185d,0x05092375,5,9,90.77,2193102941
30,0x82b8187d,0x001a3ba8,0,26,152.72,2193102973
31,0x82b8186d,0x021048e6,2,16,186.62,2193102957
32,0x82b8189b,0x05072373,5,7,90.75,2193103003
33,0x82b8183b,0x060307a1,6,3,19.53,2193102907
34,0x82b81839,0x071312d7,7,19,48.23,2193102905
35,0x82b8181d,0x030930a7,3,9,124.55,2193102877
36,0x82b81851,0x04196ea4,4,25,283.24,2193102929
37,0x82b818ab,0x024348d8,2,67,186.48,2193103019
38,0x82b81866,0x071112d7,7,17,48.23,2193102950
39,0x82b8187d,0x00163ba8,0,22,152.72,2193102973
40,0x82b8182e,0x030c30a5,3,12,124.53,2193102894
41,0x82b8182e,0x010a1127,1,10,43.91,2193102894
42,0x82b8189b,0x05132373,5,19,90.75,2193103003
43,0x82b8183b,0x063007a1,6,48,19.53,2193102907
44,0x82b818ab,0x020548d8,2,5,186.48,2193103019
45,0x82b81866,0x071512d7,7,21,48.23,2193102950
46,0x82b8187d,0x001c3ba8,0,28,152.72,2193102973
47,0x82b81851,0x04046ea4,4,4,283.24,2193102929
48,0x82b8182e,0x030b30a5,3,11,124.53,2193102894
49,0x82b8182e,0x01011127,1,1,43.91,2193102894
50,0x82b81898,0x00393b97,0,57,152.55,2193103000
51,0x82b8189b,0x05212373,5,33,90.75,2193103003
52,0x82b81866,0x071512d7,7,21,48.23,2193102950
53,0x82b818ab,0x020348d8,2,3,186.48,2193103019
54,0x82b8183b,0x060507a1,6,5,19.53,2193102907
55,0x82b8182e,0x033630a5,3,54,124.53,2193102894
56,0x82b81851,0x04146ea4,4,20,283.24,2193102929
57,0x82b818e9,0x022b48c9,2,43,186.33,2193103081
58,0x82b818ce,0x00473b96,0,71,152.54,2193103054
59,0x82b81855,0x060b07a1,6,11,19.53,2193102933
60,0x82b818f4,0x01331123,1,51,43.87,2193103092
61,0x82b81848,0x032d30a4,3,45,124.52,2193102920
62,0x82b8189b,0x05062373,5,6,90.75,2193103003
63,0x82b81891,0x04186e9b,4,24,283.15,2193102993
64,0x82b81866,0x070112d7,7,1,48.23,2193102950
65,0x82b81906,0x0531236b,5,49,90.67,2193103110
66,0x82b818ad,0x04046e81,4,4,282.89,2193103021
67,0x82b81916,0x021648c4,2,22,186.28,2193103126
68,0x82b81879,0x070c12d6,7,12,48.22,2193102969
69,0x82b81933,0x0508236b,5,8,90.67,2193103155
70,0x82b818ce,0x001c3b96,0,28,152.54,2193103054
71,0x82b818e4,0x04036e7f,4,3,282.87,2193103076
72,0x82b81855,0x063d07a1,6,61,19.53,2193102933
73,0x82b81848,0x033030a4,3,48,124.52,2193102920
74,0x82b818a2,0x060707a0,6,7,19.52,2193103010
75,0x82b81877,0x030830a0,3,8,124.48,2193102967
76,0x82b81916,0x020d48c4,2,13,186.28,2193103126
77,0x82b81933,0x0518236b,5,24,90.67,2193103155
78,0x82b81879,0x071112d6,7,17,48.22,2193102969
